Unnamed: 0,id,mssv,ngaythi,url,loaixn,listening,speaking,reading,writing,tongdiem,lydo,trangthai,ngayxl,column0,Column1,Column2,nam
1808,164.0,F0C15C4CXPvAibaEXe/7sxkigC7f5yQxLj4lTYh9,2010-06-21,bangcap/13520618/13520618_bangcap_TOEIC_LR_20180329151556.jpg,TOEIC_LR,245.0,,220.0,,,,1,2018-04-12 10:35:37,,,,2010.0
1809,165.0,F40991DEXPvAibaEXe/Dy4K4yiQpOBb9BiaNhvoj,2018-03-11,bangcap/13520838/13520838_bangcap_TOEIC_LR_20180329151623.jpeg,TOEIC_LR,380.0,,330.0,,,,1,2018-04-12 10:35:50,,,,2018.0
1811,167.0,3B334337XPvAibaEXe+9GFX9aWroRPhzn84Kn1g3,2017-11-07,bangcap/13520361/13520361_bangcap_TOEIC_LR_20180405192248.jpg,TOEIC_LR,300.0,,160.0,,,,1,2018-06-20 14:14:15,,,,2017.0
1814,174.0,06BFA130XPvAibaEXe/+PcSgI7YkeSntP5em9h+w,2018-04-04,bangcap/13520683/13520683_bangcap_TOEIC_LR_20180417170653.png,TOEIC_LR,275.0,,280.0,,,,1,2018-06-20 14:13:33,,,,2018.0
1816,176.0,9EA5AD13XPvAibaEXe92uUBt7zfwrQgm4FsORSw0,,https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/17521305/17521305_chungchi_TOEIC_LR_20180423161947.jpg,TOEIC_LR,440.0,,405.0,,,,1,2018-06-20 14:16:56,,,,
1847,211.0,A6FA945EXPvAibaEXe9D0puFBsAtkj9yxH/4mWCS,,https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/17520079/17520079_chungchi_TOEIC_LR_20180515142725.jpg,TOEIC_LR,345.0,,355.0,,,,1,2018-05-15 14:31:35,,,,
1848,213.0,17F84597XPvAibaEXe9g6r/97VInJoJQ9dYeW0kE,,https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/17520680/17520680_chungchi_TOEIC_LR_20180515142836.jpg,TOEIC_LR,365.0,,275.0,,,,1,2018-05-15 14:35:14,,,,
1852,217.0,523FC174XPvAibaEXe+0Dwp+QXLoYisCEJFVmgYz,,https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/17520990/17520990_chungchi_TOEIC_LR_20180515142956.jpg,TOEIC_LR,375.0,,310.0,,,,1,2018-05-15 14:32:05,,,,
1853,218.0,C315FC5DXPvAibaEXe/Ae0QceO7lRF2Ul+8Th3P6,,https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/17521086/17521086_chungchi_TOEIC_LR_20180515143026.jpg,TOEIC_LR,445.0,,340.0,,,,1,2018-05-15 14:31:55,,,,
1855,220.0,336CCBD7XPvAibaEXe/XOPUzjjLegAUGrAUxLRl8,,https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/15520187/15520187_chungchi_TOEIC_LR_20180515143822.jpg,TOEIC_LR,405.0,,335.0,,,,1,2018-05-15 14:38:31,,,,
1856,221.0,76A2CA8EXPvAibaEXe+NDJhRHiaomW24lZIR3xkd,2018-05-11,bangcap/17520702/17520702_bangcap_TOEIC_LR_20180521151551.jpg,TOEIC_LR,215.0,,280.0,,,,1,2018-06-20 14:09:18,,,,2018.0
1858,224.0,6920B9AAXPvAibaEXe83EtiN4MI2ns6NZhlUAIhE,,https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/13520148/13520148_chungchi_TOEIC_LR_20180522113502.jpg,TOEIC_LR,310.0,,280.0,,,,1,2018-06-20 14:08:49,,,,
1859,226.0,59F1B1F6XPvAibaEXe/7sxkigC7f59hetoIFBZSV,2018-05-12,bangcap/13520611/13520611_bangcap_TOEIC_LR_20180523225530.jpg,TOEIC_LR,305.0,,245.0,,,,1,2018-06-20 14:10:26,,,,2018.0
1860,230.0,F25B47BFXPvAibaEXe99j2P15eeB08BTAdZknEaN,2018-05-14,bangcap/13521005/13521005_bangcap_TOEIC_LR_20180526142631.jpg,TOEIC_LR,275.0,,285.0,,,,1,2018-06-20 14:06:44,,,,2018.0
1861,232.0,85082BB5XPvAibaEXe+fW1Bg/roenCrjf8tUEWkI,2018-05-17,bangcap/17521003/17521003_bangcap_TOEIC_LR_20180529105109.jpg,TOEIC_LR,270.0,,220.0,,,,1,2018-06-20 14:12:48,,,,2018.0
1862,234.0,38A7026DXPvAibaEXe9hSzSdeSAT0oxt8vTYvGic,2017-12-07,bangcap/14520227/14520227_bangcap_TOEIC_LR_20180530210627.png,TOEIC_LR,460.0,,435.0,,,,1,2018-06-20 14:12:28,,,,2017.0
