id,mssv,listening,reading,total,mamh,ghichu
51.0,19E0EE8FXPvAibaEXe97wmuqTYuV7djoRDmkvxKL, NULL, NULL,26.0, NULL, NULL
52.0,59F24D89XPvAibaEXe+MMervxP1vAFgzvQQfMwEA, NULL, NULL,26.0, NULL, NULL
53.0,E747458DXPvAibaEXe96K1aB3B4cKQggKDkChiCr, NULL, NULL,26.0, NULL, NULL
54.0,1E458D16XPvAibaEXe92C4qaj9kvH6/S4CNEqhXl, NULL, NULL,26.0, NULL, NULL
55.0,8EDF0CBCXPvAibaEXe+eIy6TmCsZu0mu7wa7hWrc, NULL, NULL,26.0, NULL, NULL
56.0,C1C2D49CXPvAibaEXe+5AEinM7he3lYo4Yh3wzso, NULL, NULL,26.0, NULL, NULL
57.0,0E3CC85BXPvAibaEXe/7YVAxOsMwOq19C4IZbCNV, NULL, NULL,26.0, NULL, NULL
58.0,039A40EBXPvAibaEXe/sW+jVmHnQGlexsxcKegMx, NULL, NULL,26.0, NULL, NULL
59.0,55164ECCXPvAibaEXe8NrxrmA741rzp6pr4JjBBO, NULL, NULL,27.0, NULL, NULL
60.0,E5B72901XPvAibaEXe/04IiIK7okBVX65TwUbxSQ, NULL, NULL,27.0, NULL, NULL
61.0,D77BA55CXPvAibaEXe97wmuqTYuV7ZzXGRkYG5x/, NULL, NULL,27.0, NULL, NULL
62.0,AF786B20XPvAibaEXe+MMervxP1vAEwg60BSZIR9, NULL, NULL,27.0, NULL, NULL
63.0,BDF344E0XPvAibaEXe97wmuqTYuV7e+YykH8Z97h, NULL, NULL,27.0, NULL, NULL
64.0,B4BB0B80XPvAibaEXe/sW+jVmHnQGrbV2aMBZxbl, NULL, NULL,27.0, NULL, NULL
65.0,D20DDE4FXPvAibaEXe8HWu5TvPOfaN9KOnh24+IZ, NULL, NULL,27.0, NULL, NULL
66.0,2B9BB841XPvAibaEXe/7YVAxOsMwOsVlHgtpSb0I, NULL, NULL,27.0, NULL, NULL
67.0,DB9FA965XPvAibaEXe904Wq1lYkfi1x2F3Ukc2Og, NULL, NULL,27.0, NULL, NULL
68.0,464EEB66XPvAibaEXe93t/fGOsRpnwKvZu4uHWUr, NULL, NULL,28.0, NULL, NULL
69.0,1A074443XPvAibaEXe/aqMXYDLKHRzKFKPFlF+3v, NULL, NULL,28.0, NULL, NULL
70.0,D6F5BEF7XPvAibaEXe+MMervxP1vAHvM1MwhSFCY, NULL, NULL,28.0, NULL, NULL
71.0,342257EAXPvAibaEXe/aqMXYDLKHR3SjNQBzsJDf, NULL, NULL,28.0, NULL, NULL
72.0,CE5AA641XPvAibaEXe/UTqPTjBxFVqOsv91ZMjHy, NULL, NULL,28.0, NULL, NULL
73.0,8851E69BXPvAibaEXe+eIy6TmCsZuzduBAHXYnYj, NULL, NULL,28.0, NULL, NULL
74.0,32425155XPvAibaEXe/jd8ghaf1GTDJ2RkglGilP, NULL, NULL,28.0, NULL, NULL
75.0,E19EA87BXPvAibaEXe96K1aB3B4cKbTxUAPWhMbc, NULL, NULL,29.0, NULL, NULL
76.0,BD12868AXPvAibaEXe8OoiZ7Qg2eT6mcyIhrsW0w, NULL, NULL,29.0, NULL, NULL
77.0,8F1119D3XPvAibaEXe/04IiIK7okBcgSWyeIFMKt, NULL, NULL,29.0, NULL, NULL
78.0,BFF8DA2FXPvAibaEXe+5AEinM7he3tn9b67IIJsR, NULL, NULL,29.0, NULL, NULL
79.0,2CFFC4A4XPvAibaEXe/UTqPTjBxFVmaKYeKYiNBw, NULL, NULL,29.0, NULL, NULL
80.0,A5C691C3XPvAibaEXe+MMervxP1vAHa9ZKGghhV0, NULL, NULL,30.0, NULL, NULL
81.0,408D0B61XPvAibaEXe/04IiIK7okBdYvNYs5MiFQ, NULL, NULL,30.0, NULL, NULL
82.0,6DE3DA07XPvAibaEXe+SI2uhC5CMEYmTe/FcwE7t, NULL, NULL,30.0, NULL, NULL
83.0,902895CAXPvAibaEXe9Hp2TeoSwCGUc05NETHA4y, NULL, NULL,30.0, NULL, NULL
84.0,0D56970AXPvAibaEXe+/1KYXP+fweMd3DfpYccg/, NULL, NULL,30.0, NULL, NULL
85.0,C6142704XPvAibaEXe88G96lR9q/HVMhBqOaOjJX, NULL, NULL,30.0, NULL, NULL
86.0,232946CFXPvAibaEXe/JhqMYLzzrR02+yvZ+pT+i, NULL, NULL,30.0, NULL, NULL
87.0,59884D21XPvAibaEXe8NrxrmA741r7Pe5nXtcI17, NULL, NULL,31.0, NULL, NULL
88.0,5E19BA75XPvAibaEXe96K1aB3B4cKVe+zJZEtwvN, NULL, NULL,31.0, NULL, NULL
89.0,6E786189XPvAibaEXe9N+b7C2VGPs5hGjFNP9OPe, NULL, NULL,31.0, NULL, NULL
90.0,33C734B5XPvAibaEXe+/1KYXP+fweL6Sr/n8oIDs, NULL, NULL,31.0, NULL, NULL
91.0,F400B823XPvAibaEXe92C4qaj9kvH9/66t3hNsRx, NULL, NULL,31.0, NULL, NULL
92.0,E32F85C4XPvAibaEXe8OoiZ7Qg2eTzHFJYtJfMmx, NULL, NULL,31.0, NULL, NULL
93.0,F934AFD4XPvAibaEXe/7YVAxOsMwOmFzQTm7dOKr, NULL, NULL,31.0, NULL, NULL
94.0,485EE734XPvAibaEXe9N+b7C2VGPs9muAnhMpjeF, NULL, NULL,32.0, NULL, NULL
95.0,ED123CFBXPvAibaEXe92C4qaj9kvHzy3ywisWZ4a, NULL, NULL,32.0, NULL, NULL
96.0,98885261XPvAibaEXe+fEAEfw3o+KtD8p1BCYU+u, NULL, NULL,32.0, NULL, NULL
97.0,1352A661XPvAibaEXe+eIy6TmCsZu+qEHG5QxOAG, NULL, NULL,32.0, NULL, NULL
98.0,7D6A1FB2XPvAibaEXe904Wq1lYkfi03olJ53wEUL, NULL, NULL,32.0, NULL, NULL
99.0,5ABD2AEBXPvAibaEXe8E8MfopOpLfpzgaVQKHwFD, NULL, NULL,33.0, NULL, NULL
100.0,72059684XPvAibaEXe9N+b7C2VGPs6rwW5yBcs12, NULL, NULL,33.0, NULL, NULL
101.0,C7C98961XPvAibaEXe/UTqPTjBxFVtKmLCQure30, NULL, NULL,33.0, NULL, NULL
102.0,5120F34CXPvAibaEXe8808q51BnmQvUpJUeNEyRf, NULL, NULL,33.0, NULL, NULL
103.0,FE6A40FDXPvAibaEXe+x/3KKGWxYH7Njftr2o+Ld, NULL, NULL,34.0, NULL, NULL
104.0,26504393XPvAibaEXe97wmuqTYuV7f7oqpX5KaC9, NULL, NULL,34.0, NULL, NULL
105.0,B2DF2BCBXPvAibaEXe/aqMXYDLKHR/Rvx1vG7yZ8, NULL, NULL,34.0, NULL, NULL
106.0,51E5CFABXPvAibaEXe93t/fGOsRpnwBCueYR01nj, NULL, NULL,34.0, NULL, NULL
107.0,F473C1ABXPvAibaEXe/jd8ghaf1GTNdb+cfjD9JK, NULL, NULL,35.0, NULL, NULL
108.0,EA5C3600XPvAibaEXe96K1aB3B4cKYcgi+qudqoq, NULL, NULL,35.0, NULL, NULL
109.0,09EA1246XPvAibaEXe9N+b7C2VGPs7VmmYGpq5S4, NULL, NULL,35.0, NULL, NULL
110.0,271B286AXPvAibaEXe9CFhTkHod3yfY0OnaNvlXt, NULL, NULL,35.0, NULL, NULL
111.0,A087B8CAXPvAibaEXe96K1aB3B4cKeZgLP7Zudq0, NULL, NULL,35.0, NULL, NULL
112.0,2E7766A4XPvAibaEXe8cJKtXZaLmvYU52KoCieBc, NULL, NULL,36.0, NULL, NULL
113.0,E4A8F3C3XPvAibaEXe8OoiZ7Qg2eT+Jy+LbBom1V, NULL, NULL,36.0, NULL, NULL
114.0,843B6F23XPvAibaEXe93t/fGOsRpn9x0GlU2wsFG, NULL, NULL,37.0, NULL, NULL
115.0,F74A82C2XPvAibaEXe9uaaZ/YedHVBLMZpuFaBWv, NULL, NULL,37.0, NULL, NULL
116.0,9FBBFEDAXPvAibaEXe9uaaZ/YedHVDIAvlASfm3N, NULL, NULL,37.0, NULL, NULL
117.0,DB711988XPvAibaEXe8E8MfopOpLfuvKyaJThdNU, NULL, NULL,37.0, NULL, NULL
